title,company,location,region,employment_type,job_id,posted_date,apply_url,scraped_at,skills
Data Scientist,HUK-COBURG VVaG,Coburg,Bayern,,10000-1205777943-S,2026-04-22,https://www.arbeitsagentur.de/jobsuche/jobdetail/10000-1205777943-S,2026-06-06 22:29:43,"{""Programming Languages"": [""r"", ""python"", ""sql""], ""ML & AI Frameworks"": [""scikit-learn"", ""tensorflow"", ""pytorch""], ""Data & Analytics"": [""pandas"", ""numpy"", ""tableau""], ""Data Science Skills"": [""machine learning"", ""statistik"", ""deep learning""]}"
Data Scientist,Noweda Apothekergenossenschaft eG,"Essen, Ruhr",Nordrhein-Westfalen,,19384-938440348-S,2026-05-28,https://www.arbeitsagentur.de/jobsuche/jobdetail/19384-938440348-S,2026-06-06 22:29:43,"{""Programming Languages"": [""r"", ""python"", ""sql""], ""ML & AI Frameworks"": [""scikit-learn"", ""tensorflow"", ""pytorch""], ""Data & Analytics"": [""pandas"", ""numpy"", ""tableau""], ""Data Science Skills"": [""machine learning"", ""statistik"", ""deep learning""]}"
Datenbankentwickler/in,Deichmann,"Essen, Ruhr",Nordrhein-Westfalen,,13644-304795-S,2026-06-01,https://www.arbeitsagentur.de/jobsuche/jobdetail/13644-304795-S,2026-06-06 22:29:43,"{""Programming Languages"": [""r"", ""sql""], ""Data & Analytics"": [""power bi"", ""tableau""]}"
Informatiker/in,Dirk Rossmann GmbH,Burgwedel,Niedersachsen,,12942-1569949-2-S,2026-06-02,https://www.arbeitsagentur.de/jobsuche/jobdetail/12942-1569949-2-S,2026-06-06 22:29:43,"{""Programming Languages"": [""r"", ""java"", ""python"", ""sql""], ""Cloud & DevOps"": [""git"", ""docker"", ""rest api""]}"
Data Scientist,BORA Lüftungstechnik GmbH,Raubling,Bayern,,10001-1002813882-S,2026-05-11,https://www.arbeitsagentur.de/jobsuche/jobdetail/10001-1002813882-S,2026-06-06 22:29:43,"{""Programming Languages"": [""r"", ""python"", ""sql""], ""ML & AI Frameworks"": [""scikit-learn"", ""tensorflow"", ""pytorch""], ""Data & Analytics"": [""pandas"", ""numpy"", ""tableau""], ""Data Science Skills"": [""machine learning"", ""statistik"", ""deep learning""]}"
Data-Warehouse-Analyst/in,compeople,Frankfurt am Main,Hessen,,12811-2154267-S,2026-05-22,https://www.arbeitsagentur.de/jobsuche/jobdetail/12811-2154267-S,2026-06-06 22:29:43,"{""Programming Languages"": [""r""]}"
Data Scientist,AOK NordWest Die Gesundheitskasse.,Dortmund,Nordrhein-Westfalen,,11858-SDE-100797-STA-S,2026-05-28,https://www.arbeitsagentur.de/jobsuche/jobdetail/11858-SDE-100797-STA-S,2026-06-06 22:29:43,"{""Programming Languages"": [""r"", ""python"", ""sql""], ""ML & AI Frameworks"": [""scikit-learn"", ""tensorflow"", ""pytorch""], ""Data & Analytics"": [""pandas"", ""numpy"", ""tableau""], ""Data Science Skills"": [""machine learning"", ""statistik"", ""deep learning""]}"
Data Scientist,Xiller GmbH,"Nürnberg, Mittelfranken",Bayern,,10001-1002662925-S,2026-05-27,https://www.arbeitsagentur.de/jobsuche/jobdetail/10001-1002662925-S,2026-06-06 22:29:43,"{""Programming Languages"": [""r"", ""python"", ""sql""], ""ML & AI Frameworks"": [""scikit-learn"", ""tensorflow"", ""pytorch""], ""Data & Analytics"": [""pandas"", ""numpy"", ""tableau""], ""Data Science Skills"": [""machine learning"", ""statistik"", ""deep learning""]}"
Data Scientist,FERCHAU GmbH Niederlassung Nürnberg City,Neumarkt in der Oberpfalz,Bayern,,12265-488365_JB5154850-S,2026-05-26,https://www.arbeitsagentur.de/jobsuche/jobdetail/12265-488365_JB5154850-S,2026-06-06 22:29:43,"{""Programming Languages"": [""r"", ""python"", ""sql""], ""ML & AI Frameworks"": [""scikit-learn"", ""tensorflow"", ""pytorch""], ""Data & Analytics"": [""pandas"", ""numpy"", ""tableau""], ""Data Science Skills"": [""machine learning"", ""statistik"", ""deep learning""]}"
Data Scientist,Charisma-Tec GmbH,Stolberg (Rheinland),Nordrhein-Westfalen,,12415-6SHNLM0WSPH5D98E-S,2026-05-19,https://www.arbeitsagentur.de/jobsuche/jobdetail/12415-6SHNLM0WSPH5D98E-S,2026-06-06 22:29:43,"{""Programming Languages"": [""r"", ""python"", ""sql""], ""ML & AI Frameworks"": [""scikit-learn"", ""tensorflow"", ""pytorch""], ""Data & Analytics"": [""pandas"", ""numpy"", ""tableau""], ""Data Science Skills"": [""machine learning"", ""statistik"", ""deep learning""]}"
